818	-0.000157	-0.000099	0.000000	0.000557	0.000000	0.000000
819	-0.000161	-0.000022	0.000000	0.000585	0.000000	0.000000
820	-0.000165	-0.000021	0.000000	0.000627	0.000000	0.000000
821	-0.000161	-0.000025	0.000000	0.000585	0.000000	0.000000
822	-0.000165	-0.000024	0.000000	0.000627	0.000000	0.000000
823	-0.000161	-0.000027	0.000000	0.000584	0.000000	0.000000
824	-0.000165	-0.000026	0.000000	0.000627	0.000000	0.000000
825	-0.000161	-0.000030	0.000000	0.000584	0.000000	0.000000
826	-0.000165	-0.000029	0.000000	0.000627	0.000000	0.000000
827	-0.000161	-0.000032	0.000000	0.000584	0.000000	0.000000
828	-0.000165	-0.000031	0.000000	0.000626	0.000000	0.000000
829	-0.000161	-0.000035	0.000000	0.000584	0.000000	0.000000
830	-0.000165	-0.000034	0.000000	0.000626	0.000000	0.000000
831	-0.000161	-0.000037	0.000000	0.000584	0.000000	0.000000
832	-0.000165	-0.000036	0.000000	0.000626	0.000000	0.000000
833	-0.000161	-0.000040	0.000000	0.000584	0.000000	0.000000
834	-0.000165	-0.000039	0.000000	0.000626	0.000000	0.000000
835	-0.000161	-0.000042	0.000000	0.000584	0.000000	0.000000
836	-0.000165	-0.000041	0.000000	0.000626	0.000000	0.000000
837	-0.000161	-0.000045	0.000000	0.000583	0.000000	0.000000
838	-0.000165	-0.000044	0.000000	0.000626	0.000000	0.000000
839	-0.000161	-0.000047	0.000000	0.000583	0.000000	0.000000
840	-0.000165	-0.000046	0.000000	0.000626	0.000000	0.000000
841	-0.000161	-0.000050	0.000000	0.000584	0.000000	0.000000
842	-0.000165	-0.000049	0.000000	0.000626	0.000000	0.000000
843	-0.000161	-0.000052	0.000000	0.000585	0.000000	0.000000
844	-0.000165	-0.000051	0.000000	0.000627	0.000000	0.000000
845	-0.000161	-0.000055	0.000000	0.000586	0.000000	0.000000
846	-0.000165	-0.000054	0.000000	0.000627	0.000000	0.000000
847	-0.000161	-0.000057	0.000000	0.000587	0.000000	0.000000
848	-0.000165	-0.000056	0.000000	0.000628	0.000000	0.000000
849	-0.000161	-0.000060	0.000000	0.000587	0.000000	0.000000
850	-0.000165	-0.000059	0.000000	0.000629	0.000000	0.000000
851	-0.000161	-0.000063	0.000000	0.000588	0.000000	0.000000
852	-0.000165	-0.000061	0.000000	0.000630	0.000000	0.000000
853	-0.000161	-0.000065	0.000000	0.000589	0.000000	0.000000
854	-0.000165	-0.000064	0.000000	0.000631	0.000000	0.000000
855	-0.000161	-0.000068	0.000000	0.000590	0.000000	0.000000
856	-0.000165	-0.000066	0.000000	0.000631	0.000000	0.000000
857	-0.000161	-0.000070	0.000000	0.000590	0.000000	0.000000
858	-0.000165	-0.000069	0.000000	0.000632	0.000000	0.000000
859	-0.000161	-0.000073	0.000000	0.000591	0.000000	0.000000
860	-0.000165	-0.000071	0.000000	0.000633	0.000000	0.000000
861	-0.000161	-0.000075	0.000000	0.000592	0.000000	0.000000
862	-0.000165	-0.000074	0.000000	0.000634	0.000000	0.000000
863	-0.000161	-0.000077	0.000000	0.000593	0.000000	0.000000
864	-0.000165	-0.000076	0.000000	0.000634	0.000000	0.000000
865	-0.000161	-0.000080	0.000000	0.000593	0.000000	0.000000
866	-0.000165	-0.000079	0.000000	0.000635	0.000000	0.000000
867	-0.000161	-0.000082	0.000000	0.000594	0.000000	0.000000
868	-0.000165	-0.000081	0.000000	0.000636	0.000000	0.000000
869	-0.000161	-0.000085	0.000000	0.000595	0.000000	0.000000
870	-0.000165	-0.000084	0.000000	0.000637	0.000000	0.000000
871	-0.000161	-0.000087	0.000000	0.000596	0.000000	0.000000
872	-0.000165	-0.000086	0.000000	0.000637	0.000000	0.000000
873	-0.000161	-0.000090	0.000000	0.000596	0.000000	0.000000
874	-0.000165	-0.000089	0.000000	0.000638	0.000000	0.000000
875	-0.000161	-0.000092	0.000000	0.000597	0.000000	0.000000
876	-0.000165	-0.000091	0.000000	0.000639	0.000000	0.000000
877	-0.000161	-0.000095	0.000000	0.000598	0.000000	0.000000
878	-0.000165	-0.000094	0.000000	0.000640	0.000000	0.000000
879	-0.000161	-0.000097	0.000000	0.000599	0.000000	0.000000
880	-0.000165	-0.000096	0.000000	0.000640	0.000000	0.000000
881	-0.000165	-0.000099	0.000000	0.000641	0.000000	0.000000
882	-0.000169	-0.000022	0.000000	0.000669	0.000000	0.000000
883	-0.000172	-0.000021	0.000000	0.000711	0.000000	0.000000
884	-0.000169	-0.000025	0.000000	0.000669	0.000000	0.000000
885	-0.000172	-0.000024	0.000000	0.000711	0.000000	0.000000
886	-0.000169	-0.000027	0.000000	0.000669	0.000000	0.000000
887	-0.000172	-0.000026	0.000000	0.000711	0.000000	0.000000
888	-0.000169	-0.000030	0.000000	0.000669	0.000000	0.000000
889	-0.000172	-0.000029	0.000000	0.000711	0.000000	0.000000
890	-0.000169	-0.000032	0.000000	0.000668	0.000000	0.000000
891	-0.000172	-0.000031	0.000000	0.000711	0.000000	0.000000
892	-0.000169	-0.000035	0.000000	0.000668	0.000000	0.000000
893	-0.000172	-0.000034	0.000000	0.000710	0.000000	0.000000
894	-0.000169	-0.000037	0.000000	0.000668	0.000000	0.000000
895	-0.000172	-0.000036	0.000000	0.000710	0.000000	0.000000
896	-0.000169	-0.000040	0.000000	0.000668	0.000000	0.000000
897	-0.000172	-0.000039	0.000000	0.000710	0.000000	0.000000
898	-0.000169	-0.000042	0.000000	0.000668	0.000000	0.000000
899	-0.000172	-0.000041	0.000000	0.000710	0.000000	0.000000
900	-0.000169	-0.000045	0.000000	0.000668	0.000000	0.000000
901	-0.000172	-0.000044	0.000000	0.000710	0.000000	0.000000
902	-0.000169	-0.000047	0.000000	0.000668	0.000000	0.000000
903	-0.000172	-0.000046	0.000000	0.000710	0.000000	0.000000
904	-0.000169	-0.000050	0.000000	0.000668	0.000000	0.000000
905	-0.000172	-0.000049	0.000000	0.000710	0.000000	0.000000
906	-0.000169	-0.000052	0.000000	0.000669	0.000000	0.000000
907	-0.000172	-0.000051	0.000000	0.000711	0.000000	0.000000
908	-0.000169	-0.000055	0.000000	0.000670	0.000000	0.000000
909	-0.000172	-0.000054	0.000000	0.000712	0.000000	0.000000
910	-0.000169	-0.000057	0.000000	0.000671	0.000000	0.000000
911	-0.000172	-0.000056	0.000000	0.000712	0.000000	0.000000
912	-0.000169	-0.000060	0.000000	0.000671	0.000000	0.000000
913	-0.000172	-0.000059	0.000000	0.000713	0.000000	0.000000
914	-0.000169	-0.000063	0.000000	0.000672	0.000000	0.000000
915	-0.000172	-0.000061	0.000000	0.000714	0.000000	0.000000
916	-0.000169	-0.000065	0.000000	0.000673	0.000000	0.000000
917	-0.000172	-0.000064	0.000000	0.000715	0.000000	0.000000
918	-0.000169	-0.000068	0.000000	0.000674	0.000000	0.000000
919	-0.000172	-0.000066	0.000000	0.000715	0.000000	0.000000
920	-0.000169	-0.000070	0.000000	0.000675	0.000000	0.000000
921	-0.000172	-0.000069	0.000000	0.000716	0.000000	0.000000
922	-0.000169	-0.000073	0.000000	0.000675	0.000000	0.000000
923	-0.000172	-0.000071	0.000000	0.000717	0.000000	0.000000
924	-0.000169	-0.000075	0.000000	0.000676	0.000000	0.000000
925	-0.000172	-0.000074	0.000000	0.000718	0.000000	0.000000
926	-0.000169	-0.000077	0.000000	0.000677	0.000000	0.000000
927	-0.000172	-0.000076	0.000000	0.000719	0.000000	0.000000
928	-0.000169	-0.000080	0.000000	0.000678	0.000000	0.000000
929	-0.000172	-0.000079	0.000000	0.000719	0.000000	0.000000
930	-0.000169	-0.000082	0.000000	0.000678	0.000000	0.000000
931	-0.000172	-0.000081	0.000000	0.000720	0.000000	0.000000
932	-0.000169	-0.000085	0.000000	0.000679	0.000000	0.000000
933	-0.000172	-0.000084	0.000000	0.000721	0.000000	0.000000
934	-0.000169	-0.000087	0.000000	0.000680	0.000000	0.000000
935	-0.000172	-0.000086	0.000000	0.000722	0.000000	0.000000
936	-0.000169	-0.000090	0.000000	0.000681	0.000000	0.000000
937	-0.000172	-0.000089	0.000000	0.000722	0.000000	0.000000
938	-0.000169	-0.000092	0.000000	0.000681	0.000000	0.000000
939	-0.000172	-0.000091	0.000000	0.000723	0.000000	0.000000
940	-0.000169	-0.000095	0.000000	0.000682	0.000000	0.000000
941	-0.000172	-0.000094	0.000000	0.000724	0.000000	0.000000
942	-0.000169	-0.000097	0.000000	0.000683	0.000000	0.000000
943	-0.000172	-0.000096	0.000000	0.000725	0.000000	0.000000
944	-0.000172	-0.000099	0.000000	0.000725	0.000000	0.000000
945	-0.000176	-0.000022	0.000000	0.000753	0.000000	0.000000
946	-0.000180	-0.000021	0.000000	0.000789	0.000000	0.000000
947	-0.000176	-0.000025	0.000000	0.000753	0.000000	0.000000
948	-0.000180	-0.000024	0.000000	0.000789	0.000000	0.000000
949	-0.000176	-0.000027	0.000000	0.000753	0.000000	0.000000
950	-0.000180	-0.000026	0.000000	0.000795	0.000000	0.000000
951	-0.000176	-0.000030	0.000000	0.000753	0.000000	0.000000
952	-0.000180	-0.000029	0.000000	0.000795	0.000000	0.000000
953	-0.000176	-0.000032	0.000000	0.000753	0.000000	0.000000
954	-0.000180	-0.000031	0.000000	0.000795	0.000000	0.000000
955	-0.000176	-0.000035	0.000000	0.000753	0.000000	0.000000
956	-0.000180	-0.000034	0.000000	0.000795	0.000000	0.000000
957	-0.000176	-0.000037	0.000000	0.000752	0.000000	0.000000
958	-0.000180	-0.000036	0.000000	0.000795	0.000000	0.000000
959	-0.000176	-0.000040	0.000000	0.000752	0.000000	0.000000
960	-0.000180	-0.000039	0.000000	0.000794	0.000000	0.000000
961	-0.000176	-0.000042	0.000000	0.000752	0.000000	0.000000
962	-0.000180	-0.000041	0.000000	0.000794	0.000000	0.000000
963	-0.000176	-0.000045	0.000000	0.000752	0.000000	0.000000
964	-0.000180	-0.000044	0.000000	0.000794	0.000000	0.000000
965	-0.000176	-0.000047	0.000000	0.000752	0.000000	0.000000
966	-0.000180	-0.000046	0.000000	0.000794	0.000000	0.000000
967	-0.000176	-0.000050	0.000000	0.000753	0.000000	0.000000
968	-0.000180	-0.000049	0.000000	0.000794	0.000000	0.000000
969	-0.000176	-0.000052	0.000000	0.000753	0.000000	0.000000
970	-0.000180	-0.000051	0.000000	0.000795	0.000000	0.000000
971	-0.000176	-0.000055	0.000000	0.000754	0.000000	0.000000
972	-0.000180	-0.000054	0.000000	0.000796	0.000000	0.000000
973	-0.000176	-0.000057	0.000000	0.000755	0.000000	0.000000
974	-0.000180	-0.000056	0.000000	0.000797	0.000000	0.000000
975	-0.000176	-0.000060	0.000000	0.000756	0.000000	0.000000
976	-0.000180	-0.000059	0.000000	0.000797	0.000000	0.000000
977	-0.000176	-0.000063	0.000000	0.000756	0.000000	0.000000
978	-0.000180	-0.000061	0.000000	0.000798	0.000000	0.000000
979	-0.000176	-0.000065	0.000000	0.000757	0.000000	0.000000
980	-0.000180	-0.000064	0.000000	0.000799	0.000000	0.000000
981	-0.000176	-0.000068	0.000000	0.000758	0.000000	0.000000
982	-0.000180	-0.000066	0.000000	0.000800	0.000000	0.000000
983	-0.000176	-0.000070	0.000000	0.000759	0.000000	0.000000
984	-0.000180	-0.000069	0.000000	0.000800	0.000000	0.000000
985	-0.000176	-0.000073	0.000000	0.000759	0.000000	0.000000
986	-0.000180	-0.000071	0.000000	0.000801	0.000000	0.000000
987	-0.000176	-0.000075	0.000000	0.000760	0.000000	0.000000
988	-0.000180	-0.000074	0.000000	0.000802	0.000000	0.000000
989	-0.000176	-0.000077	0.000000	0.000761	0.000000	0.000000
990	-0.000180	-0.000076	0.000000	0.000803	0.000000	0.000000
991	-0.000176	-0.000080	0.000000	0.000762	0.000000	0.000000
992	-0.000180	-0.000079	0.000000	0.000803	0.000000	0.000000
993	-0.000176	-0.000082	0.000000	0.000762	0.000000	0.000000
994	-0.000180	-0.000081	0.000000	0.000804	0.000000	0.000000
995	-0.000176	-0.000085	0.000000	0.000763	0.000000	0.000000
996	-0.000180	-0.000084	0.000000	0.000805	0.000000	0.000000
997	-0.000176	-0.000087	0.000000	0.000764	0.000000	0.000000
998	-0.000180	-0.000086	0.000000	0.000806	0.000000	0.000000
999	-0.000176	-0.000090	0.000000	0.000765	0.000000	0.000000
1000	-0.000180	-0.000089	0.000000	0.000806	0.000000	0.000000
1001	-0.000176	-0.000092	0.000000	0.000766	0.000000	0.000000
1002	-0.000180	-0.000091	0.000000	0.000807	0.000000	0.000000
1003	-0.000176	-0.000095	0.000000	0.000766	0.000000	0.000000
1004	-0.000180	-0.000094	0.000000	0.000808	0.000000	0.000000
1005	-0.000176	-0.000097	0.000000	0.000767	0.000000	0.000000
1006	-0.000180	-0.000096	0.000000	0.000809	0.000000	0.000000
1007	-0.000180	-0.000099	0.000000	0.000810	0.000000	0.000000
1008	-0.000184	-0.000022	0.000000	0.000839	0.000000	0.000000
1009	-0.000188	-0.000021	0.000000	0.000888	0.000000	0.000000
1010	-0.000184	-0.000025	0.000000	0.000839	0.000000	0.000000
1011	-0.000188	-0.000024	0.000000	0.000888	0.000000	0.000000
1012	-0.000184	-0.000027	0.000000	0.000838	0.000000	0.000000
1013	-0.000188	-0.000026	0.000000	0.000888	0.000000	0.000000
1014	-0.000184	-0.000030	0.000000	0.000838	0.000000	0.000000
1015	-0.000188	-0.000029	0.000000	0.000888	0.000000	0.000000
1016	-0.000184	-0.000032	0.000000	0.000838	0.000000	0.000000
1017	-0.000188	-0.000031	0.000000	0.000888	0.000000	0.000000
1018	-0.000184	-0.000035	0.000000	0.000838	0.000000	0.000000
1019	-0.000188	-0.000034	0.000000	0.000888	0.000000	0.000000
1020	-0.000184	-0.000037	0.000000	0.000838	0.000000	0.000000
1021	-0.000188	-0.000036	0.000000	0.000887	0.000000	0.000000
1022	-0.000184	-0.000040	0.000000	0.000837	0.000000	0.000000
1023	-0.000188	-0.000039	0.000000	0.000887	0.000000	0.000000
1024	-0.000184	-0.000042	0.000000	0.000837	0.000000	0.000000
1025	-0.000188	-0.000041	0.000000	0.000887	0.000000	0.000000
1026	-0.000184	-0.000045	0.000000	0.000837	0.000000	0.000000
1027	-0.000188	-0.000044	0.000000	0.000887	0.000000	0.000000
1028	-0.000184	-0.000047	0.000000	0.000837	0.000000	0.000000
1029	-0.000188	-0.000046	0.000000	0.000887	0.000000	0.000000
1030	-0.000184	-0.000050	0.000000	0.000838	0.000000	0.000000
1031	-0.000188	-0.000049	0.000000	0.000887	0.000000	0.000000
1032	-0.000184	-0.000052	0.000000	0.000838	0.000000	0.000000
1033	-0.000188	-0.000051	0.000000	0.000888	0.000000	0.000000
1034	-0.000184	-0.000055	0.000000	0.000839	0.000000	0.000000
1035	-0.000188	-0.000054	0.000000	0.000888	0.000000	0.000000
1036	-0.000184	-0.000057	0.000000	0.000840	0.000000	0.000000
1037	-0.000188	-0.000056	0.000000	0.000889	0.000000	0.000000
1038	-0.000184	-0.000060	0.000000	0.000841	0.000000	0.000000
1039	-0.000188	-0.000059	0.000000	0.000890	0.000000	0.000000
1040	-0.000184	-0.000063	0.000000	0.000841	0.000000	0.000000
1041	-0.000188	-0.000061	0.000000	0.000890	0.000000	0.000000
1042	-0.000184	-0.000065	0.000000	0.000842	0.000000	0.000000
1043	-0.000188	-0.000064	0.000000	0.000891	0.000000	0.000000
1044	-0.000184	-0.000068	0.000000	0.000843	0.000000	0.000000
1045	-0.000188	-0.000066	0.000000	0.000892	0.000000	0.000000
1046	-0.000184	-0.000070	0.000000	0.000843	0.000000	0.000000
1047	-0.000188	-0.000069	0.000000	0.000894	0.000000	0.000000
1048	-0.000184	-0.000073	0.000000	0.000844	0.000000	0.000000
1049	-0.000188	-0.000071	0.000000	0.000885	0.000000	0.000000
1050	-0.000184	-0.000075	0.000000	0.000844	0.000000	0.000000
1051	-0.000188	-0.000074	0.000000	0.000886	0.000000	0.000000
1052	-0.000184	-0.000077	0.000000	0.000845	0.000000	0.000000
1053	-0.000188	-0.000076	0.000000	0.000887	0.000000	0.000000
1054	-0.000184	-0.000080	0.000000	0.000846	0.000000	0.000000
1055	-0.000188	-0.000079	0.000000	0.000888	0.000000	0.000000
1056	-0.000184	-0.000082	0.000000	0.000847	0.000000	0.000000
1057	-0.000188	-0.000081	0.000000	0.000888	0.000000	0.000000
1058	-0.000184	-0.000085	0.000000	0.000847	0.000000	0.000000
1059	-0.000188	-0.000084	0.000000	0.000889	0.000000	0.000000
1060	-0.000184	-0.000087	0.000000	0.000848	0.000000	0.000000
1061	-0.000188	-0.000086	0.000000	0.000890	0.000000	0.000000
1062	-0.000184	-0.000090	0.000000	0.000849	0.000000	0.000000
1063	-0.000188	-0.000089	0.000000	0.000891	0.000000	0.000000
1064	-0.000184	-0.000092	0.000000	0.000850	0.000000	0.000000
1065	-0.000188	-0.000091	0.000000	0.000891	0.000000	0.000000
1066	-0.000184	-0.000095	0.000000	0.000850	0.000000	0.000000
1067	-0.000188	-0.000094	0.000000	0.000892	0.000000	0.000000
1068	-0.000184	-0.000097	0.000000	0.000851	0.000000	0.000000
1069	-0.000188	-0.000096	0.000000	0.000893	0.000000	0.000000
1070	-0.000188	-0.000099	0.000000	0.000894	0.000000	0.000000
1071	-0.000191	-0.000022	0.000000	0.000938	0.000000	0.000000
1072	-0.000195	-0.000021	0.000000	0.000988	0.000000	0.000000
1073	-0.000191	-0.000025	0.000000	0.000938	0.000000	0.000000
1074	-0.000195	-0.000024	0.000000	0.000988	0.000000	0.000000
1075	-0.000191	-0.000027	0.000000	0.000938	0.000000	0.000000
1076	-0.000195	-0.000026	0.000000	0.000987	0.000000	0.000000
1077	-0.000191	-0.000030	0.000000	0.000937	0.000000	0.000000
1078	-0.000195	-0.000029	0.000000	0.000987	0.000000	0.000000
1079	-0.000191	-0.000032	0.000000	0.000937	0.000000	0.000000
1080	-0.000195	-0.000031	0.000000	0.000987	0.000000	0.000000
1081	-0.000191	-0.000035	0.000000	0.000937	0.000000	0.000000
1082	-0.000195	-0.000034	0.000000	0.000987	0.000000	0.000000
1083	-0.000191	-0.000037	0.000000	0.000937	0.000000	0.000000
1084	-0.000195	-0.000036	0.000000	0.000987	0.000000	0.000000
1085	-0.000191	-0.000040	0.000000	0.000937	0.000000	0.000000
1086	-0.000195	-0.000039	0.000000	0.000986	0.000000	0.000000
1087	-0.000191	-0.000042	0.000000	0.000937	0.000000	0.000000
1088	-0.000195	-0.000041	0.000000	0.000986	0.000000	0.000000
1089	-0.000191	-0.000045	0.000000	0.000936	0.000000	0.000000
1090	-0.000195	-0.000044	0.000000	0.000986	0.000000	0.000000
1091	-0.000191	-0.000047	0.000000	0.000936	0.000000	0.000000
1092	-0.000195	-0.000046	0.000000	0.000986	0.000000	0.000000
1093	-0.000191	-0.000050	0.000000	0.000937	0.000000	0.000000
1094	-0.000195	-0.000049	0.000000	0.000986	0.000000	0.000000
1095	-0.000191	-0.000052	0.000000	0.000937	0.000000	0.000000
1096	-0.000195	-0.000051	0.000000	0.000987	0.000000	0.000000
1097	-0.000191	-0.000055	0.000000	0.000938	0.000000	0.000000
1098	-0.000195	-0.000054	0.000000	0.000987	0.000000	0.000000
1099	-0.000191	-0.000057	0.000000	0.000939	0.000000	0.000000
1100	-0.000195	-0.000056	0.000000	0.000988	0.000000	0.000000
1101	-0.000191	-0.000060	0.000000	0.000940	0.000000	0.000000
1102	-0.000195	-0.000059	0.000000	0.000989	0.000000	0.000000
1103	-0.000191	-0.000063	0.000000	0.000940	0.000000	0.000000
1104	-0.000195	-0.000061	0.000000	0.000989	0.000000	0.000000
1105	-0.000191	-0.000065	0.000000	0.000942	0.000000	0.000000
1106	-0.000195	-0.000064	0.000000	0.000992	0.000000	0.000000
1107	-0.000191	-0.000068	0.000000	0.000945	0.000000	0.000000
1108	-0.000195	-0.000066	0.000000	0.000995	0.000000	0.000000
1109	-0.000191	-0.000070	0.000000	0.000942	0.000000	0.000000
1110	-0.000195	-0.000069	0.000000	0.000998	0.000000	0.000000
1111	-0.000191	-0.000073	0.000000	0.000951	0.000000	0.000000
1112	-0.000195	-0.000071	0.000000	0.001001	0.000000	0.000000
1113	-0.000191	-0.000075	0.000000	0.000954	0.000000	0.000000
1114	-0.000195	-0.000074	0.000000	0.001004	0.000000	0.000000
1115	-0.000191	-0.000077	0.000000	0.000957	0.000000	0.000000
1116	-0.000195	-0.000076	0.000000	0.001007	0.000000	0.000000
1117	-0.000191	-0.000080	0.000000	0.000960	0.000000	0.000000
1118	-0.000195	-0.000079	0.000000	0.001010	0.000000	0.000000
1119	-0.000191	-0.000082	0.000000	0.000963	0.000000	0.000000
1120	-0.000195	-0.000081	0.000000	0.001013	0.000000	0.000000
1121	-0.000191	-0.000085	0.000000	0.000966	0.000000	0.000000
1122	-0.000195	-0.000084	0.000000	0.001016	0.000000	0.000000
1123	-0.000191	-0.000087	0.000000	0.000969	0.000000	0.000000
1124	-0.000195	-0.000086	0.000000	0.001019	0.000000	0.000000
1125	-0.000191	-0.000090	0.000000	0.000972	0.000000	0.000000
1126	-0.000195	-0.000089	0.000000	0.001023	0.000000	0.000000
1127	-0.000191	-0.000092	0.000000	0.000975	0.000000	0.000000
1128	-0.000195	-0.000091	0.000000	0.001026	0.000000	0.000000
1129	-0.000191	-0.000095	0.000000	0.000978	0.000000	0.000000
1130	-0.000195	-0.000094	0.000000	0.001029	0.000000	0.000000
1131	-0.000191	-0.000097	0.000000	0.000981	0.000000	0.000000
1132	-0.000195	-0.000096	0.000000	0.001032	0.000000	0.000000
1133	-0.000195	-0.000099	0.000000	0.001035	0.000000	0.000000
1134	-0.000199	-0.000022	0.000000	0.001037	0.000000	0.000000
1135	-0.000202	-0.000021	0.000000	0.001087	0.000000	0.000000
1136	-0.000199	-0.000025	0.000000	0.001037	0.000000	0.000000
1137	-0.000202	-0.000024	0.000000	0.001087	0.000000	0.000000
1138	-0.000199	-0.000027	0.000000	0.001037	0.000000	0.000000
1139	-0.000202	-0.000026	0.000000	0.001087	0.000000	0.000000
1140	-0.000199	-0.000030	0.000000	0.001037	0.000000	0.000000
1141	-0.000202	-0.000029	0.000000	0.001086	0.000000	0.000000
1142	-0.000199	-0.000032	0.000000	0.001037	0.000000	0.000000
1143	-0.000202	-0.000031	0.000000	0.001086	0.000000	0.000000
1144	-0.000199	-0.000035	0.000000	0.001036	0.000000	0.000000
1145	-0.000202	-0.000034	0.000000	0.001086	0.000000	0.000000
1146	-0.000199	-0.000037	0.000000	0.001036	0.000000	0.000000
1147	-0.000202	-0.000036	0.000000	0.001086	0.000000	0.000000
1148	-0.000199	-0.000040	0.000000	0.001036	0.000000	0.000000
1149	-0.000202	-0.000039	0.000000	0.001085	0.000000	0.000000
1150	-0.000199	-0.000042	0.000000	0.001036	0.000000	0.000000
1151	-0.000202	-0.000041	0.000000	0.001085	0.000000	0.000000
1152	-0.000199	-0.000045	0.000000	0.001035	0.000000	0.000000
1153	-0.000202	-0.000044	0.000000	0.001085	0.000000	0.000000
1154	-0.000199	-0.000047	0.000000	0.001035	0.000000	0.000000
1155	-0.000202	-0.000046	0.000000	0.001085	0.000000	0.000000
1156	-0.000199	-0.000050	0.000000	0.001036	0.000000	0.000000
1157	-0.000202	-0.000049	0.000000	0.001085	0.000000	0.000000
1158	-0.000199	-0.000052	0.000000	0.001036	0.000000	0.000000
1159	-0.000202	-0.000051	0.000000	0.001086	0.000000	0.000000
1160	-0.000199	-0.000055	0.000000	0.001037	0.000000	0.000000
1161	-0.000202	-0.000054	0.000000	0.001086	0.000000	0.000000
1162	-0.000199	-0.000057	0.000000	0.001038	0.000000	0.000000
1163	-0.000202	-0.000056	0.000000	0.001087	0.000000	0.000000
1164	-0.000199	-0.000060	0.000000	0.001039	0.000000	0.000000
1165	-0.000202	-0.000059	0.000000	0.001090	0.000000	0.000000
1166	-0.000199	-0.000063	0.000000	0.001042	0.000000	0.000000
1167	-0.000202	-0.000061	0.000000	0.001093	0.000000	0.000000
1168	-0.000199	-0.000065	0.000000	0.001046	0.000000	0.000000
1169	-0.000202	-0.000064	0.000000	0.001096	0.000000	0.000000
1170	-0.000199	-0.000068	0.000000	0.001049	0.000000	0.000000
1171	-0.000202	-0.000066	0.000000	0.001099	0.000000	0.000000
1172	-0.000199	-0.000070	0.000000	0.001052	0.000000	0.000000
1173	-0.000202	-0.000069	0.000000	0.001102	0.000000	0.000000
1174	-0.000199	-0.000073	0.000000	0.001055	0.000000	0.000000
1175	-0.000202	-0.000071	0.000000	0.001105	0.000000	0.000000
1176	-0.000199	-0.000075	0.000000	0.001058	0.000000	0.000000
1177	-0.000202	-0.000074	0.000000	0.001108	0.000000	0.000000
1178	-0.000199	-0.000077	0.000000	0.001061	0.000000	0.000000
1179	-0.000202	-0.000076	0.000000	0.001111	0.000000	0.000000
1180	-0.000199	-0.000080	0.000000	0.001064	0.000000	0.000000
1181	-0.000202	-0.000079	0.000000	0.001114	0.000000	0.000000
1182	-0.000199	-0.000082	0.000000	0.001067	0.000000	0.000000
1183	-0.000202	-0.000081	0.000000	0.001117	0.000000	0.000000
1184	-0.000199	-0.000085	0.000000	0.001070	0.000000	0.000000
1185	-0.000202	-0.000084	0.000000	0.001120	0.000000	0.000000
1186	-0.000199	-0.000087	0.000000	0.001073	0.000000	0.000000
1187	-0.000202	-0.000086	0.000000	0.001123	0.000000	0.000000
1188	-0.000199	-0.000090	0.000000	0.001076	0.000000	0.000000
1189	-0.000202	-0.000089	0.000000	0.001126	0.000000	0.000000
1190	-0.000199	-0.000092	0.000000	0.001079	0.000000	0.000000
1191	-0.000202	-0.000091	0.000000	0.001129	0.000000	0.000000
1192	-0.000199	-0.000095	0.000000	0.001082	0.000000	0.000000
1193	-0.000202	-0.000094	0.000000	0.001132	0.000000	0.000000
1194	-0.000199	-0.000097	0.000000	0.001085	0.000000	0.000000
1195	-0.000202	-0.000096	0.000000	0.001136	0.000000	0.000000
1196	-0.000202	-0.000099	0.000000	0.001139	0.000000	0.000000
1197	-0.000206	-0.000022	0.000000	0.001136	0.000000	0.000000
1198	-0.000210	-0.000021	0.000000	0.001187	0.000000	0.000000
1199	-0.000206	-0.000025	0.000000	0.001136	0.000000	0.000000
1200	-0.000210	-0.000024	0.000000	0.001186	0.000000	0.000000
1201	-0.000206	-0.000027	0.000000	0.001136	0.000000	0.000000
1202	-0.000210	-0.000026	0.000000	0.001186	0.000000	0.000000
1203	-0.000206	-0.000030	0.000000	0.001136	0.000000	0.000000
1204	-0.000210	-0.000029	0.000000	0.001186	0.000000	0.000000
1205	-0.000206	-0.000032	0.000000	0.001136	0.000000	0.000000
1206	-0.000210	-0.000031	0.000000	0.001185	0.000000	0.000000
1207	-0.000206	-0.000035	0.000000	0.001135	0.000000	0.000000
1208	-0.000210	-0.000034	0.000000	0.001185	0.000000	0.000000
1209	-0.000206	-0.000037	0.000000	0.001135	0.000000	0.000000
1210	-0.000210	-0.000036	0.000000	0.001185	0.000000	0.000000
1211	-0.000206	-0.000040	0.000000	0.001135	0.000000	0.000000
1212	-0.000210	-0.000039	0.000000	0.001184	0.000000	0.000000
1213	-0.000206	-0.000042	0.000000	0.001135	0.000000	0.000000
1214	-0.000210	-0.000041	0.000000	0.001184	0.000000	0.000000
1215	-0.000206	-0.000045	0.000000	0.001134	0.000000	0.000000
1216	-0.000210	-0.000044	0.000000	0.001184	0.000000	0.000000
1217	-0.000206	-0.000047	0.000000	0.001134	0.000000	0.000000
1218	-0.000210	-0.000046	0.000000	0.001184	0.000000	0.000000
1219	-0.000206	-0.000050	0.000000	0.001135	0.000000	0.000000
1220	-0.000210	-0.000049	0.000000	0.001184	0.000000	0.000000
1221	-0.000206	-0.000052	0.000000	0.001135	0.000000	0.000000
1222	-0.000210	-0.000051	0.000000	0.001185	0.000000	0.000000
